symbol_id,symbol,timeframe,timeframe_code,eligible,reasons,covered_until,unresolved_rows
1,000001.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,18
1,000001.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,10
1,000001.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
1,000001.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
1,000001.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
2,000002.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,24
2,000002.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,9
2,000002.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
2,000002.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
2,000002.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
3,000063.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,20
3,000063.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,8
3,000063.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
3,000063.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
3,000063.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
4,000333.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,11
4,000333.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,6
4,000333.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
4,000333.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
4,000333.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
5,000651.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,16
5,000651.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,8
5,000651.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
5,000651.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
5,000651.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
6,600000.SH,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,353
6,600000.SH,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,79
6,600000.SH,1d,1440,True,,2026-07-03T07:00:00+00:00,0
6,600000.SH,1w,10080,True,,2026-07-03T07:00:00+00:00,0
6,600000.SH,1m,43200,True,,2026-06-30T07:00:00+00:00,0
7,600519.SH,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,419
7,600519.SH,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,87
7,600519.SH,1d,1440,True,,2026-07-03T07:00:00+00:00,0
7,600519.SH,1w,10080,True,,2026-07-03T07:00:00+00:00,0
7,600519.SH,1m,43200,True,,2026-06-30T07:00:00+00:00,0
8,600887.SH,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,375
8,600887.SH,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,86
8,600887.SH,1d,1440,True,,2026-07-03T07:00:00+00:00,0
8,600887.SH,1w,10080,True,,2026-07-03T07:00:00+00:00,0
8,600887.SH,1m,43200,True,,2026-06-30T07:00:00+00:00,0
